Id,Designator,Package,Quantity,Designation,Supplier and ref,,2017-03-07
1,U4,LQFP-48_7x7mm_Pitch0.5mm,1,W5500,,,
2,"C1,C2",C_0805_HandSoldering,2,C_Small,,,
3,"C3,C4,C5,C6,C11",C_0805_HandSoldering,5,1uF,,,
4,"C7,C8",C_0805_HandSoldering,2,18uF,,,
5,C12,C_0805_HandSoldering,1,0.1uF,,,
6,CON1,microSD-5031821852,1,Micro_SD_Card,,,
7,"D2,D4",LED_0805,2,LED,,,
8,"JP1,JP2,JP3",Jumper_SMD,3,Jumper_NO_Small,,,
9,P1,Socket_Strip_Straight_1x06,1,CONN_01X06,,,
10,"P2,P3,P4,P5,P6,P7,P9,P10,P11,P12,P13",Socket_Strip_Straight_1x02,11,CONN_01X02,,,
11,P8,Socket_Strip_Straight_1x08,1,CONN_01X08,,,
12,P14,8p8c-RB1-125BAG1A,1,CNT-RJ45,,,
13,R1,R_0805_HandSoldering,1,1M,,,
14,R2,R_0805_HandSoldering,1,12K4,,,
15,"R3,R4",R_0805_HandSoldering,2,390K,,,
16,"R5,R6",R_0805_HandSoldering,2,499,,,
17,"R7,R8,R9,R10",R_0805_HandSoldering,4,49R9,,,
18,U1,LQFP-64_10x10mm_Pitch0.5mm,1,STM32F030R8T6,,,
19,"U2,U3",SOT-23-5,2,LD3985M,,,
20,Y1,Crystal_SMD_HC49-SD_HandSoldering,1,Crystal,,,
21,Y2,Crystal_SMD_HC49-SD_HandSoldering,1,25MHz,,,
22,C9,C_0805_HandSoldering,1,4.7uF,,,
